"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05160","Hepatitis C","37/920","155/7914",1.20689091273288e-05,0.000342318149793326,0.000264476573220889,"ARAF/RELA/TNFRSF1A/PPP2R1A/CLDN4/EGFR/TP53/SCARB1/EIF2AK1/MX1/JAK1/STAT1/OAS2/IFNAR2/GRB2/EIF2AK4/MAPK3/CLDN19/RB1/TBK1/PSME3/NRAS/CDK2/PPP2R2A/PPP2CB/YWHAZ/EIF3E/CHUK/YWHAE/NFKBIA/TLR3/PIAS1/PIK3CB/CASP3/PPP2CA/EIF2S1/SOS2",37
"hsa04145","Phagosome","36/920","152/7914",1.89901343244385e-05,0.000478351344460513,0.000369576443594661,"ATP6V0A1/RAB7A/LAMP1/ATP6V0D1/TUBB/TUBB4B/RAC1/TUBA1C/SCARB1/TUBA1B/ATP6V0C/TAP2/TAP1/HLA-G/HLA-E/TUBB2A/ACTB/THBS1/TUBB1/DYNC1LI1/ATP6V1C1/HLA-DOA/SEC61A1/CANX/ATP6V1A/STX7/RAB5C/DYNC1I2/SEC22B/ITGAM/ATP6V1F/ATP6V1D/LAMP2/M6PR/RAB5A/ITGA5",36
"hsa05130","Pathogenic Escherichia coli infection","44/920","201/7914",1.9931306019188e-05,0.000478351344460513,0.000369576443594661,"MYD88/NCK2/TUBB/TMBIM6/TUBB4B/RELA/ARF6/TNFRSF1A/RAC1/GAPDH/NCL/ARPC2/TUBA1C/EZR/WASF2/MYO5B/MYO1C/CLDN4/TUBA1B/RHOA/TUBB2A/TNFSF10/ACTB/ARPC1B/MAPK3/CLDN19/TUBB1/MAP3K7/MYO1F/CDC42/SEC24A/TMED10/RAB1A/NCKAP1/PTPN11/CASP4/CHUK/SEC24D/SEC24B/NFKBIA/MAPK9/HCK/CASP3/WASL",44
"hsa04071","Sphingolipid signaling pathway","30/920","119/7914",2.63159347868341e-05,0.000566873825305459,0.000437969318471491,"GNAI2/SGPP1/RELA/CTSD/TNFRSF1A/BCL2/RAC1/SGMS1/PPP2R1A/TP53/SMPD1/RHOA/MAPK3/SPTLC1/GNAI3/CERS2/NRAS/SMPD2/ASAH1/PPP2R2A/SGMS2/PPP2CB/GNAI1/PDPK1/MAPK9/PIK3CB/PPP2CA/SPTLC3/PPP2R5E/PPP2R3C",30
"hsa05215","Prostate cancer","26/920","97/7914",2.87897582316575e-05,0.000566873825305459,0.000437969318471491,"CREBBP/ARAF/RELA/BCL2/GSTP1/EGFR/TP53/SPINT1/TCF7L2/FGFR1/GRB2/CCNE1/IL1R2/MAPK3/RB1/MDM2/MMP3/NRAS/CDK2/CHUK/ATF4/PDPK1/HSP90AA1/NFKBIA/PIK3CB/SOS2",26
"hsa04140","Autophagy - animal","33/920","137/7914",2.90704525797671e-05,0.000566873825305459,0.000437969318471491,"RAB7A/LAMP1/DAPK1/RRAS/CTSD/ATG9A/BCL2/RRAGA/SNAP29/ATG4A/WIPI1/EIF2AK4/MAPK3/TBK1/MAP3K7/ATG3/RRAGC/RPS6KB1/NRAS/VMP1/RAB1A/ATG13/PPP2CB/SQSTM1/TANK/PDPK1/AMBRA1/LAMP2/RRAS2/MAPK9/PIK3CB/PPP2CA/EIF2S1",33
"hsa05131","Shigellosis","20/920","67/7914",4.53796184125439e-05,0.000832849467336099,0.000643463319905421,"NFKBIB/RELA/RAC1/ARPC2/WASF2/RHOG/PFN1/ACTB/ARPC1B/MAPK3/CDC42/CRK/RIPK2/CHUK/UBE2D3/NFKBIA/MAPK9/CRKL/ITGA5/WASL",20
"hsa04142","Lysosome","30/920","123/7914",5.16711547172955e-05,0.000895633348433121,0.000691970434518167,"ATP6V0A1/AP1G1/LAMP1/ATP6V0D1/CTSD/GBA/CTSA/GGA3/TPP1/GNPTG/SMPD1/AP3D1/ATP6V0C/GM2A/HEXB/CLN5/CTSZ/AGA/IDS/CD164/AP3M1/AP4E1/ASAH1/CLTC/GNS/CLN3/LAMP2/HGSNAT/M6PR/LAPTM4A",30
"hsa05211","Renal cell carcinoma","20/920","69/7914",7.21379417686339e-05,0.00118458093851651,0.000915212668422003,"CREBBP/ARAF/RAC1/PRCC/EPAS1/SLC2A1/EGLN3/GRB2/MAPK3/TGFB2/CDC42/CRK/NRAS/RAP1A/PTPN11/RAP1B/PIK3CB/CRKL/CUL2/SOS2",20
"hsa03060","Protein export","10/920","23/7914",0.000118299760514671,0.00184547626402887,0.00142582342936104,"SRPRA/SRP68/OXA1L/SPCS3/SEC63/SEC61A1/SEC62/SPCS2/SRP9/SRP72",10
"hsa05205","Proteoglycans in cancer","42/920","204/7914",0.000135430819186075,0.0020121150279074,0.00155456930293791,"ARAF/RRAS/RAC1/PPP1CA/EZR/EGFR/SLC9A1/TP53/RHOA/FLNA/FN1/HOXD10/PLAUR/CBL/FGFR1/ACTB/HSPG2/GRB2/TIMP3/MAPK3/TGFB2/THBS1/FLNB/MDM2/GPC3/RDX/VAV2/PPP1CC/CDC42/RPS6KB1/NRAS/VAV3/EIF4B/PTPN11/PPP1CB/SMAD2/PDPK1/RRAS2/PIK3CB/CASP3/ITGA5/SOS2",42
"hsa05100","Bacterial invasion of epithelial cells","20/920","73/7914",0.000170353237079087,0.00239820045924406,0.00185286067870071,"RAC1/ARPC2/SHC1/WASF2/ILK/RHOG/RHOA/CTNNA1/FN1/CBL/ARHGAP10/ACTB/ARPC1B/CDC42/CRK/CLTC/PIK3CB/CRKL/ITGA5/WASL",20
"hsa04722","Neurotrophin signaling pathway","28/920","119/7914",0.000176790418469915,0.00239820045924406,0.00185286067870071,"NFKBIB/RELA/BCL2/RAC1/SHC1/TP53/RHOA/ARHGDIB/GRB2/MAPK3/RPS6KA5/CDC42/CRK/NRAS/RIPK2/RAP1A/PTPN11/PSEN1/RAP1B/ATF4/PDPK1/YWHAE/NFKBIA/MAPK9/PIK3CB/CRKL/PRDM4/SOS2",28
"hsa05132","Salmonella infection","21/920","80/7914",0.000227766575911937,0.00296096548685518,0.00228765552122077,"RAB7A/MYD88/RELA/RAC1/ARPC2/WASF2/RHOG/PLEKHM2/PFN1/FLNA/IFNGR2/ACTB/ARPC1B/MAPK3/FLNB/DYNC1LI1/CDC42/DYNC1I2/IFNGR1/MAPK9/WASL",21
"hsa05212","Pancreatic cancer","20/920","75/7914",0.000253807288422808,0.00316751495951665,0.00244723659152939,"ARAF/RELA/SMAD4/RAC1/EGFR/TP53/JAK1/STAT1/MAPK3/SMAD3/GADD45A/TGFB2/RB1/CDC42/RPS6KB1/CHUK/SMAD2/MAPK9/PIK3CB/DDB2",20
"hsa05120","Epithelial cell signaling in Helicobacter pylori infection","19/920","70/7914",0.000280794776535568,0.00336953731842682,0.00260331999298158,"ATP6V0A1/ATP6V0D1/RELA/RAC1/EGFR/ATP6V0C/JAM2/ATP6V1C1/CDC42/ADAM17/MAP2K4/ATP6V1A/PTPN11/CHUK/ATP6V1F/ATP6V1D/NFKBIA/MAPK9/CASP3",19
"hsa00510","N-Glycan biosynthesis","15/920","49/7914",0.000294421889531023,0.00340220850124738,0.00262856189873701,"ALG12/MAN1C1/MAN2A2/B4GALT3/GANAB/ALG3/MGAT4A/ALG6/ALG2/B4GALT1/STT3A/RPN2/ALG8/RPN1/DPM1",15
"hsa04218","Cellular senescence","34/920","160/7914",0.000310806956472824,0.0034632775149829,0.00267574409895777,"VDAC1/RRAS/RELA/CAPN1/PPP1CA/TRAF3IP2/E2F4/TP53/LIN37/HLA-G/HLA-E/SERPINE1/CCNE1/MAPK3/SMAD3/GADD45A/TGFB2/RB1/MDM2/HUS1/PPP1CC/PPP3CB/NRAS/CDK2/RBL1/SQSTM1/RAD1/PPP1CB/SMAD2/HIPK3/RRAS2/PIK3CB/RBBP4/SIRT1",34
"hsa05161","Hepatitis B","34/920","162/7914",0.000396276353253326,0.00426338697293233,0.00329391233738699,"MYD88/ATF6B/CREBBP/ARAF/RELA/DDB1/SMAD4/BCL2/TP53/JAK1/PTK2B/HSPG2/STAT1/GRB2/CCNE1/MAPK3/SMAD3/TGFB2/RB1/TBK1/MAP3K7/NRAS/CDK2/MAP2K4/YWHAZ/CHUK/ATF4/NFKBIA/TLR3/MAPK9/PIK3CB/CASP3/DDB2/SOS2",34
"hsa05135","Yersinia infection","27/920","120/7914",0.000493433313933496,0.00513170646490836,0.00396477996107967,"MYD88/RELA/ARF6/RAC1/WASF2/RHOA/FN1/PTK2B/ACTB/MAPK3/TBK1/MAP3K7/VAV2/CDC42/CRK/VAV3/MAP2K4/ACTR3/CHUK/ACTR2/NFKBIA/MAPK9/PIK3CB/PIP5K1A/CRKL/ITGA5/WASL",27
"hsa00600","Sphingolipid metabolism","14/920","47/7914",0.000634171514758016,0.00638262943885487,0.00493124879047829,"SGPP1/GBA/SMPD4/SGMS1/SMPD1/UGCG/SPTLC1/CERS2/NEU2/SMPD2/ASAH1/SGMS2/ACER3/SPTLC3",14
"hsa05210","Colorectal cancer","21/920","86/7914",0.000656871232144419,0.00640449451340809,0.00494814184740369,"ARAF/SMAD4/BCL2/RAC1/EGFR/TP53/RHOA/TCF7L2/GRB2/MAPK3/SMAD3/GADD45A/TGFB2/RPS6KB1/NRAS/SMAD2/MAPK9/PIK3CB/CASP3/DDB2/SOS2",21
"hsa00513","Various types of N-glycan biosynthesis","12/920","38/7914",0.000860922493196867,0.00813963084477038,0.00628871613850343,"ALG12/MAN1C1/MAN2A2/B4GALT3/ALG3/HEXB/MGAT4A/ALG2/B4GALT1/STT3A/RPN2/RPN1",12
"hsa05162","Measles","29/920","138/7914",0.00101049378134863,0.00927276646414038,0.00716418191730144,"MYD88/CSNK2B/NFKBIB/RELA/BCL2/EIF3H/ADAR/CSNK2A3/TP53/EIF2AK1/MX1/JAK1/IL2RB/STAT1/OAS2/IFNAR2/CCNE1/EIF2AK4/TBK1/MAP3K7/CDK2/CSNK2A2/CHUK/CD46/NFKBIA/MAPK9/PIK3CB/CASP3/EIF2S1",29
"hsa04810","Regulation of actin cytoskeleton","40/920","213/7914",0.00133638175246362,0.0116789487115341,0.00902320936215015,"ARAF/RRAS/ACTN4/RAC1/PPP1CA/LIMK2/MYLK4/ARPC2/EZR/WASF2/EGFR/SLC9A1/RHOA/PFN1/FN1/ACTN1/FGFR1/ACTB/ARPC1B/ITGA1/MAPK3/RDX/VAV2/PPP1CC/CDC42/CRK/NRAS/VAV3/GNG12/NCKAP1/FGD3/PPP1CB/ITGAM/RRAS2/PIK3CB/PIP5K1A/CRKL/ITGA5/SOS2/WASL",40
"hsa03050","Proteasome","13/920","45/7914",0.00134757100517701,0.0116789487115341,0.00902320936215015,"PSMD3/PSMD4/PSMB2/PSMF1/PSMB8/PSMC1/PSME3/PSMD7/PSMC6/PSMD2/PSMA4/PSMD11/PSMC2",13
"hsa05203","Viral carcinogenesis","38/920","201/7914",0.00153767982922349,0.0129663812626413,0.0100178856583835,"ATF6B/CREBBP/ATP6V0D1/SNW1/RELA/DDB1/TBP/ACTN4/RAC1/VAC14/TP53/RHOA/HLA-G/HLA-E/ACTN1/JAK1/GRB2/CCNE1/MAPK3/IL6ST/RB1/PSMC1/MDM2/USP7/CDC42/NRAS/CDK2/UBE3A/RBL1/YWHAZ/HDAC2/ATF4/YWHAE/HDAC1/NFKBIA/PIK3CB/GTF2H1/CASP3",38
"hsa04110","Cell cycle","26/920","124/7914",0.00186412553306011,0.0153054517451251,0.0118250622457276,"CREBBP/SMAD4/CDK7/E2F4/TP53/CCNE1/SMAD3/GADD45A/TGFB2/RB1/MDM2/STAG1/WEE1/CDK2/RBL1/YWHAZ/HDAC2/ORC5/SMAD2/BUB3/YWHAE/HDAC1/SMC3/PRKDC/MCM4/CUL1",26
"hsa05164","Influenza A","33/920","170/7914",0.00195322964609175,0.015625837168734,0.0120725934940624,"RAB11B/MYD88/VDAC1/CREBBP/NFKBIB/NXF1/RELA/TNFRSF1A/ADAR/HNRNPUL1/NUP98/MX1/IFNGR2/JAK1/TNFSF10/ACTB/STAT1/OAS2/IFNAR2/MAPK3/TBK1/NXT2/HLA-DOA/DNAJC3/KPNA1/CHUK/KPNA6/IFNGR1/NFKBIA/TLR3/PIK3CB/CASP3/EIF2S1",33
"hsa04919","Thyroid hormone signaling pathway","25/920","119/7914",0.00219737648356983,0.0167660319955834,0.0129535132489494,"MED12/MED24/CREBBP/SIN3A/MED14/SLC9A1/TP53/SLC2A1/ACTB/STAT1/THRB/DIO2/MAPK3/PLCD3/MDM2/MED1/NRAS/MED13L/HDAC2/NCOA3/ATP1B3/PDPK1/HDAC1/MED4/PIK3CB",25
"hsa04350","TGF-beta signaling pathway","21/920","94/7914",0.00220322856352218,0.0167660319955834,0.0129535132489494,"SP1/CREBBP/SMAD4/SMAD6/E2F4/PPP2R1A/RHOA/NOG/LTBP1/MAPK3/SMAD3/TGFB2/THBS1/BMPR1A/RPS6KB1/RBL1/PPP2CB/SMAD2/PPP2CA/CUL1/BMPR2",21
"hsa04115","p53 signaling pathway","17/920","72/7914",0.00305224301884494,0.0226738052828481,0.017517885997882,"SHISA5/BCL2/TP53/PERP/CCNG2/SERPINE1/CCNE1/GADD45A/THBS1/MDM2/COP1/CCNG1/CDK2/EI24/CASP3/DDB2/SIAH1",17
"hsa03018","RNA degradation","18/920","79/7914",0.00353555176006498,0.0256533057939599,0.0198198617638894,"PATL1/DCPS/TOB2/EXOSC10/PABPC1/ENO1/DCP2/CNOT6L/CNOT1/CNOT2/CNOT8/LSM3/DCP1A/PFKM/EXOSC8/CNOT7/XRN2/TENT4B",18
"hsa05110","Vibrio cholerae infection","13/920","50/7914",0.00377911380919841,0.0267973524652251,0.0207037574714458,"ATP6V0A1/ATP6V0D1/KDELR1/ATP6V0C/KDELR3/ACTB/ATP6V1C1/SEC61A1/ERO1A/ATP6V1A/KDELR2/ATP6V1F/ATP6V1D",13
"hsa05170","Human immunodeficiency virus 1 infection","38/920","212/7914",0.004051737493559,0.0279967012189704,0.0216303798216742,"MYD88/AP1G1/GNAI2/RELA/DDB1/TNFRSF1A/BCL2/RAC1/LIMK2/GNB1/TAP2/TAP1/BST2/B2M/HLA-G/HLA-E/PTK2B/MAPK3/TBK1/MAP3K7/GNAI3/APOBEC3H/RPS6KB1/PPP3CB/CRK/WEE1/NRAS/GNG12/PDIA3/CUL5/CHUK/GNAI1/NFKBIA/MAPK9/PIK3CB/CASP3/CUL1/CRKL",38
"hsa04068","FoxO signaling pathway","26/920","131/7914",0.00412771876946359,0.0279967012189704,0.0216303798216742,"CREBBP/ARAF/SMAD4/FOXO4/G6PC3/EGFR/PLK2/CCNG2/STK4/TNFSF10/GRB2/MAPK3/SMAD3/GADD45A/TGFB2/MDM2/USP7/NRAS/CDK2/CHUK/PDPK1/NLK/MAPK9/PIK3CB/SIRT1/SOS2",26
"hsa04510","Focal adhesion","36/920","199/7914",0.00434565165364403,0.0283971973205974,0.0219398049474252,"VEGFB/ACTN4/BCL2/RAC1/PPP1CA/MYLK4/SHC1/ILK/EGFR/RHOA/FLNA/FN1/PARVA/ACTN1/ACTB/ITGA1/GRB2/MAPK3/VASP/THBS1/FLNB/VAV2/PPP1CC/CDC42/CRK/PGF/VAV3/RAP1A/RAP1B/PPP1CB/PDPK1/MAPK9/PIK3CB/CRKL/ITGA5/SOS2",36
"hsa04670","Leukocyte transendothelial migration","23/920","112/7914",0.00436879958778422,0.0283971973205974,0.0219398049474252,"GNAI2/ACTN4/RAC1/EZR/CLDN4/RHOA/CTNNA1/ACTN1/PTK2B/ACTB/JAM2/VASP/CLDN19/VAV2/CDC42/GNAI3/VAV3/RAP1A/PTPN11/RAP1B/GNAI1/ITGAM/PIK3CB",23
"hsa00020","Citrate cycle (TCA cycle)","9/920","30/7914",0.00553296697884598,0.0348251676700808,0.026906084333497,"ACO2/ACLY/IDH3G/CS/MDH2/DLD/IDH3A/SUCLA2/SDHD",9
"hsa05213","Endometrial cancer","14/920","58/7914",0.00558095635738475,0.0348251676700808,0.026906084333497,"ARAF/ILK/EGFR/TP53/CTNNA1/TCF7L2/GRB2/MAPK3/GADD45A/NRAS/PDPK1/PIK3CB/DDB2/SOS2",14
"hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","19/920","89/7914",0.00592045320832536,0.0362192431568139,0.0279831534511147,"MYD88/CSNK2B/NFKBIB/RELA/EGFR/CSNK2A3/IFNGR2/JAK1/STAT1/MAPK3/RPS6KB1/PPP3CB/NRAS/CSNK2A2/PTPN11/CHUK/IFNGR1/NFKBIA/PIK3CB",19
"hsa05142","Chagas disease (American trypanosomiasis)","21/920","102/7914",0.00610582102830934,0.0366349261698561,0.0283043120543085,"MYD88/GNAI2/RELA/TNFRSF1A/PPP2R1A/IFNGR2/SERPINE1/MAPK3/TGFB2/GNAI3/MAP2K4/PPP2R2A/PPP2CB/CHUK/GNAI1/SMAD2/IFNGR1/NFKBIA/MAPK9/PIK3CB/PPP2CA",21
"hsa05166","Human T-cell leukemia virus 1 infection","38/920","219/7914",0.00704013201766757,0.0414437960285336,0.0320196669721127,"ATF6B/VDAC1/CREBBP/CRTC3/RELA/SMAD4/TBP/TNFRSF1A/VAC14/CRTC2/TP53/SLC2A1/ZFP36/B2M/HLA-G/HLA-E/JAK1/IL2RB/CCNE1/IL1R2/MAPK3/SMAD3/TGFB2/RB1/HLA-DOA/PPP3CB/NRAS/CANX/CDK2/MAP2K4/CHUK/ATF4/SMAD2/BUB3/NFKBIA/MAPK9/PIK3CB/SPI1",38
"hsa05145","Toxoplasmosis","22/920","112/7914",0.00898304293193454,0.0519020258289551,0.0400997433023978,"MYD88/GNAI2/NFKBIB/RELA/TNFRSF1A/BCL2/PPIF/IFNGR2/JAK1/STAT1/MAPK3/TGFB2/MAP3K7/HLA-DOA/GNAI3/CHUK/GNAI1/PDPK1/IFNGR1/NFKBIA/MAPK9/CASP3",22
"hsa04010","MAPK signaling pathway","48/920","295/7914",0.00932155897433147,0.0526120434510514,0.04064830617507,"MYD88/HSPB1/MAX/VEGFB/ARAF/RRAS/RELA/TNFRSF1A/RAC1/MAPKAPK3/EGFR/TP53/DUSP3/FLNA/RASGRF2/STK4/FGFR1/GRB2/MAPK3/GADD45A/TGFB2/FLNB/EFNA1/MAP3K7/RPS6KA5/STK3/CDC42/PPP3CB/LAMTOR3/CRK/PGF/NRAS/PPM1A/MAP4K3/RAP1A/MAP2K4/GNG12/MAP3K2/CHUK/RAP1B/ATF4/ARRB2/NLK/RRAS2/MAPK9/CASP3/CRKL/SOS2",48
"hsa04966","Collecting duct acid secretion","8/920","27/7914",0.00949764668952827,0.0526120434510514,0.04064830617507,"ATP6V0A1/ATP6V0D1/ATP6V0C/CA2/ATP6V1C1/ATP6V1A/ATP6V1F/ATP6V1D",8
"hsa04666","Fc gamma R-mediated phagocytosis","19/920","93/7914",0.00961181563048054,0.0526120434510514,0.04064830617507,"ARF6/RAC1/LIMK2/ARPC2/WASF2/ASAP3/ARPC1B/MAPK3/VASP/VAV2/CDC42/RPS6KB1/CRK/MARCKS/VAV3/PIK3CB/PIP5K1A/HCK/CRKL",19
"hsa05163","Human cytomegalovirus infection","38/920","225/7914",0.0109011657697526,0.0586407537959103,0.0453061154496068,"ATF6B/SP1/GNAI2/RELA/TNFRSF1A/RAC1/GNB1/EGFR/TP53/RHOA/TAP2/TAP1/B2M/HLA-G/HLA-E/JAK1/PTK2B/GRB2/MAPK3/CCR1/RB1/TBK1/MDM2/GNAI3/RPS6KB1/PPP3CB/CRK/NRAS/GNG12/PDIA3/CHUK/ATF4/GNAI1/NFKBIA/PIK3CB/CASP3/CRKL/SOS2",38
"hsa04662","B cell receptor signaling pathway","17/920","82/7914",0.0120046554786289,0.063482245920885,0.049046674480036,"NFKBIB/RELA/RAC1/PIK3AP1/CD22/GRB2/MAPK3/VAV2/PPP3CB/LILRA5/NRAS/VAV3/MALT1/CHUK/NFKBIA/PIK3CB/SOS2",17
"hsa05165","Human papillomavirus infection","52/920","330/7914",0.0129165065842511,0.0671658342381058,0.0518926317156756,"ATP6V0A1/CREBBP/TUBG1/ATP6V0D1/RELA/TBP/TNFRSF1A/PPP2R1A/EGFR/TP53/ATP6V0C/FN1/HLA-G/HLA-E/MX1/TCF7L2/JAK1/STAT1/ITGA1/IFNAR2/GRB2/CCNE1/MAPK3/THBS1/RB1/TBK1/PSMC1/MDM2/ATP6V1C1/CDC42/RPS6KB1/NRAS/CDK2/UBE3A/RBL1/PPP2R2A/ATP6V1A/PPP2CB/HDAC2/PSEN1/CHUK/ATP6V1F/HDAC1/ATP6V1D/TLR3/PIK3CB/CASP3/PPP2CA/PPP2R5E/ITGA5/SOS2/PPP2R3C",52
"hsa05219","Bladder cancer","10/920","41/7914",0.0166251806626428,0.0850337109302388,0.0656974352328768,"DAPK1/ARAF/EGFR/TP53/MAPK3/THBS1/RB1/MDM2/RPS6KA5/NRAS",10
"hsa04062","Chemokine signaling pathway","32/920","189/7914",0.0178134550958755,0.0896419030631152,0.0692577456189386,"GNAI2/GSK3A/NFKBIB/RELA/RAC1/GNB1/SHC1/RHOA/PTK2B/XCR1/STAT1/GRB2/MAPK3/CXCR6/CCR1/VAV2/CDC42/GNAI3/CRK/NRAS/VAV3/RAP1A/GNG12/CHUK/RAP1B/GNAI1/ARRB2/NFKBIA/PIK3CB/HCK/CRKL/SOS2",32
"hsa04530","Tight junction","29/920","169/7914",0.0197020366093401,0.0975719908272079,0.0753845678118442,"YBX3/ACTN4/RAC1/SYNPO/TUBA1C/EZR/PPP2R1A/CLDN4/TUBA1B/RHOA/SYMPK/RAB13/ACTN1/ACTB/JAM2/VASP/CLDN19/RDX/CDC42/HSPA4/MARVELD2/RAP1A/NEDD4/ACTR3/PPP2R2A/PPP2CB/ACTR2/MAPK9/PPP2CA",29
"hsa00512","Mucin type O-glycan biosynthesis","8/920","31/7914",0.022225352683285,0.108348594331014,0.0837106211261887,"GCNT1/GALNT6/GALNT7/GALNT3/GALNT12/C1GALT1/ST3GAL1/GALNT1",8
"hsa05216","Thyroid cancer","9/920","37/7914",0.0229380968070441,0.110102864673811,0.0850659784423173,"CCDC6/TFG/TPM3/TP53/TCF7L2/MAPK3/GADD45A/NRAS/DDB2",9
