Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
84	dimethyl sulfoxide CTD 00005842	1/207	0.0408	0.0873524654734834	0	0	32.0226537216829	102.470700870238	ITGAM
85	Alitretinoin CTD 00003402	1/212	0.0417	0.0883767282088737	0	0	31.2559241706161	99.2829489057505	ITGAM
86	LY 294002 CTD 00003061	1/227	0.0446	0.0934241112050378	0	0	29.1592920353982	90.6625190258698	ITGAM
87	spiperone PC3 UP	1/236	0.0464	0.0948829193209775	0	0	28.0297872340426	86.079751561273	MIS12
88	tolnaftate PC3 DOWN	1/240	0.0471	0.0948829193209775	0	0	27.5550906555091	84.1671140564503	PRRG1
89	tretinoin HL60 UP	1/241	0.0473	0.0948829193209775	0	0	27.4388888888889	83.7001460236472	ITGAM
90	puromycin MCF7 UP	1/242	0.0475	0.0948829193209775	0	0	27.3236514522822	83.2375349998425	ITGAM
91	quinpirole HL60 UP	1/245	0.0481	0.0948829193209775	0	0	26.983606557377	81.875269505007	SH3BP5
92	rapamycin CTD 00007350	1/247	0.0485	0.0948829193209775	0	0	26.7615176151762	80.9878415005039	ITGAM
93	TPEN CTD 00001994	1/253	0.0497	0.0958142588299142	0	0	26.1164021164021	78.4204933735971	ITGAM
94	minoxidil PC3 DOWN	1/255	0.05	0.0958142588299142	0	0	25.9081364829396	77.5950199181086	PRRG1
95	cyclopenthiazide PC3 DOWN	1/261	0.0512	0.0963428308205395	0	0	25.3025641025641	75.2042783519159	PRRG1
96	PD 98059 CTD 00003206	1/262	0.0514	0.0963428308205395	0	0	25.2043422733078	74.8178538658218	ITGAM
97	puromycin HL60 UP	1/274	0.0537	0.0996268669735289	0	0	24.0818070818071	70.4289130640556	SH3BP5
98	verteporfin HL60 DOWN	1/283	0.0554	0.101780411540726	0	0	23.3026004728132	67.4127217661119	ITGAM
99	podophyllotoxin HL60 UP	1/306	0.0598	0.108352347626411	0	0	21.520218579235	60.6120799718884	SH3BP5
100	mitomycin C CTD 00007136	1/308	0.0602	0.108352347626411	0	0	21.3778501628664	60.0750415067165	SH3BP5
101	helveticoside PC3 UP	1/324	0.0632	0.111947825231779	0	0	20.3023735810114	56.0490240430774	MIS12
102	pregnenolone PC3 DOWN	1/325	0.0634	0.111947825231779	0	0	20.238683127572	55.8123459880288	PRRG1
103	HC toxin MCF7 UP	1/332	0.0648	0.112011185037063	0	0	19.8036253776435	54.2009978668524	PRRG1
104	menadione HL60 UP	1/334	0.0651	0.112011185037063	0	0	19.6826826826827	53.7547326930009	SH3BP5
105	indomethacin CTD 00006147	1/335	0.0653	0.112011185037063	0	0	19.622754491018	53.5338774552762	ITGAM
106	mebendazole HL60 UP	1/346	0.0674	0.114502993165905	0	0	18.9864734299517	51.2002926428156	SH3BP5
107	cicloheximide MCF7 UP	1/354	0.0689	0.115985787844297	0	0	18.5486307837583	49.6067480904856	ITGAM
108	nocodazole HL60 UP	1/373	0.0725	0.1202542306076	0	0	17.584229390681	46.1333390840342	SH3BP5
109	sanguinarine MCF7 DOWN	1/376	0.0731	0.1202542306076	0	0	17.4408888888889	45.6214981454594	PRRG1
110	proscillaridin MCF7 UP	1/378	0.0735	0.1202542306076	0	0	17.3465959328028	45.2854340045321	MIS12
111	Methaneseleninic acid CTD 00000412	1/402	0.078	0.125851939059268	0	0	16.2884455527847	41.5497308696977	SH3BP5
112	thapsigargin MCF7 UP	1/407	0.079	0.125851939059268	0	0	16.0837438423645	40.8348015418225	MIS12
113	alprostadil HL60 UP	1/409	0.0793	0.125851939059268	0	0	16.0032679738562	40.554443301464	SH3BP5
114	lanatoside C PC3 UP	1/411	0.0797	0.125851939059268	0	0	15.9235772357724	40.2772165200092	MIS12
115	trichostatin A PC3 UP	1/415	0.0805	0.125933847960163	0	0	15.7665056360709	39.7319607523347	SH3BP5
116	dexamethasone CTD 00005779	1/421	0.0816	0.126240756985203	0	0	15.5365079365079	38.9363603603619	ITGAM
117	8-azaguanine HL60 UP	1/428	0.0829	0.126240756985203	0	0	15.2763466042155	38.0404998502122	SH3BP5
118	sanguinarine HL60 DOWN	1/431	0.0835	0.126240756985203	0	0	15.1674418604651	37.666791494366	PRRG1
119	MS-275 PC3 UP	1/431	0.0835	0.126240756985203	0	0	15.1674418604651	37.666791494366	PRRG1
120	chlorzoxazone HL60 UP	1/455	0.0879	0.131921294148883	0	0	14.3480176211454	34.8802446050105	ITGAM
121	theophylline CTD 00006862	1/472	0.0911	0.135545649437573	0	0	13.8181174805379	33.1028633155431	ITGAM
122	Phorbol 12-myristate 13-acetate CTD 00006852	1/483	0.0932	0.136608219774502	0	0	13.4951590594744	32.0294593035817	ITGAM
123	thapsigargin PC3 UP	1/484	0.0933	0.136608219774502	0	0	13.4665286404417	31.9346695055427	MIS12
124	irinotecan PC3 UP	1/501	0.0965	0.139232832180314	0	0	12.9973333333333	30.389968701356	MIS12
125	Dasatinib CTD 00004330	1/502	0.0967	0.139232832180314	0	0	12.9707252162342	30.3028672812587	ITGAM
126	lycorine PC3 UP	1/508	0.0978	0.139715597560037	0	0	12.8132807363577	29.7885881388843	MIS12
127	curcumin CTD 00000663	1/528	0.1015	0.143855929658209	0	0	12.314358001265	28.1717136000012	ITGAM
128	Tamibarotene CTD 00002527	1/559	0.1072	0.150759697764226	0	0	11.6117084826762	25.9288835265095	ITGAM
129	AFLATOXIN B1 CTD 00007128	2/3081	0.1148	0.159662457436086	0	0	5.49431633647288	11.8921665440992	PRRG1;SH3BP5
130	7646-79-9 CTD 00000928	2/3094	0.1157	0.159662457436086	0	0	5.46701164294955	11.7922190334276	MIS12;SH3BP5
131	etifenin PC3 DOWN	1/609	0.1164	0.159662457436086	0	0	10.6293859649123	22.8648026685197	SH3BP5
132	vorinostat MCF7 UP	1/613	0.1171	0.159662457436086	0	0	10.557734204793	22.6447378545707	PRRG1
133	proscillaridin HL60 DOWN	1/620	0.1184	0.160186969759861	0	0	10.4345718901454	22.2675987498136	SH3BP5
134	emetine MCF7 UP	1/637	0.1215	0.163141805918463	0	0	10.146750524109	21.3919124877151	ITGAM
135	staurosporine MCF7 DOWN	1/649	0.1236	0.163142294560231	0	0	9.95267489711934	20.806008044915	MIS12
136	neostigmine bromide PC3 DOWN	1/650	0.1238	0.163142294560231	0	0	9.93682588597843	20.7583257069636	SH3BP5
137	8-Bromo-cAMP, Na CTD 00007044	1/652	0.1242	0.163142294560231	0	0	9.905273937532	20.6634752772608	SH3BP5
138	scriptaid PC3 UP	1/664	0.1263	0.164308269670773	0	0	9.71995977878331	20.1084150778502	PRRG1
139	trichostatin A HL60 UP	1/667	0.1269	0.164308269670773	0	0	9.67467467467467	19.9733062719538	SH3BP5
140	0175029-0000 PC3 DOWN	2/3326	0.1314	0.168191691692362	0	0	5.01564380264741	10.1786180337466	PRRG1;MIS12
141	digitoxigenin PC3 DOWN	1/694	0.1318	0.168191691692362	0	0	9.28475228475228	18.81878056437	PRRG1
142	zalcitabine PC3 DOWN	1/726	0.1375	0.174286712334616	0	0	8.86022988505747	17.5803206780589	PRRG1
143	cephaeline HL60 UP	1/767	0.1448	0.182277047653182	0	0	8.36814621409922	16.1701013969206	SH3BP5
144	trichostatin A CTD 00000660	2/3584	0.1497	0.187144563031685	0	0	4.58235622557231	8.70197442422044	ITGAM;PRRG1
145	cephaeline MCF7 UP	1/811	0.1526	0.189445122064203	0	0	7.89547325102881	14.8425343454453	ITGAM
146	captopril PC3 DOWN	1/856	0.1605	0.19785563551054	0	0	7.46237816764133	13.6507325618893	SH3BP5
147	lycorine HL60 UP	1/862	0.1616	0.19785563551054	0	0	7.40805265195509	13.502967906229	SH3BP5
148	trichostatin A MCF7 UP	1/874	0.1637	0.19816056024214	0	0	7.3016418480336	13.2146786272499	PRRG1
149	Demecolcine CTD 00005762	1/876	0.164	0.19816056024214	0	0	7.28419047619048	13.1675452543387	ITGAM
150	anisomycin PC3 UP	1/899	0.168	0.20165707548679	0	0	7.0890868596882	12.6434447369795	MIS12
151	0179445-0000 MCF7 DOWN	1/911	0.1701	0.202811621706418	0	0	6.99120879120879	12.3825124262473	MIS12
152	doxorubicin MCF7 DOWN	1/1006	0.1865	0.220896298017273	0	0	6.29883913764511	10.5766217730808	MIS12
153	Retinoic acid CTD 00006918	2/4258	0.2009	0.236361412527577	0	0	3.69830827067669	5.93545993667323	ITGAM;SH3BP5
154	phenobarbital CTD 00006510	1/1129	0.2074	0.241829475112213	0	0	5.57565011820331	8.77099203708726	SH3BP5
155	CADMIUM CTD 00005555	1/1142	0.2096	0.241829475112213	0	0	5.50832602979842	8.60743856039478	ITGAM
156	anisomycin HL60 UP	1/1142	0.2096	0.241829475112213	0	0	5.50832602979842	8.60743856039478	SH3BP5
157	5-Fluorouracil CTD 00005987	1/1202	0.2196	0.251768158289646	0	0	5.21648626144879	7.90797234422962	PRRG1
158	vincristine CTD 00006988	1/1245	0.2267	0.25828232617732	0	0	5.02465166130761	7.45690375227092	ITGAM
159	irinotecan MCF7 DOWN	1/1272	0.2312	0.261688490165374	0	0	4.91083136637818	7.19266438488164	SH3BP5
160	H-7 PC3 DOWN	1/1361	0.2457	0.274584825895407	0	0	4.56764705882353	6.41190171893414	MIS12
161	cyclosporin A CTD 00007121	2/4825	0.247	0.274584825895407	0	0	3.14596724030686	4.39882672933936	MIS12;SH3BP5
162	Disodium selenite CTD 00007229	1/1370	0.2471	0.274584825895407	0	0	4.5354273192111	6.33987230317064	SH3BP5
163	0175029-0000 MCF7 DOWN	1/1488	0.266	0.293766389320339	0	0	4.14906971531047	5.49410298603453	MIS12
164	VITAMIN E CTD 00006994	1/1510	0.2695	0.294522496099005	0	0	4.08371990280539	5.35444511831442	MIS12
165	camptothecin MCF7 DOWN	1/1513	0.27	0.294522496099005	0	0	4.07495590828924	5.33579318440261	MIS12
166	SELENIUM CTD 00006731	1/1559	0.2772	0.300598171013035	0	0	3.94480102695764	5.06098227504767	MIS12
167	latamoxef HL60 DOWN	1/1578	0.2802	0.302004125110867	0	0	3.89325723948425	4.95330413593746	PRRG1
168	resveratrol CTD 00002483	1/1601	0.2838	0.304051087853658	0	0	3.8325	4.82723461527959	ITGAM
169	Decitabine CTD 00000750	1/1800	0.3143	0.334725734556745	0	0	3.37168797480082	3.90273530872144	ITGAM
170	progesterone CTD 00006624	1/1915	0.3314	0.350936158887331	0	0	3.14907697666318	3.47755521032533	ITGAM
171	calcitriol CTD 00005558	1/1958	0.3378	0.355553704325343	0	0	3.0725600408789	3.33487146172223	ITGAM
172	ETHYL METHANESULFONATE CTD 00005938	1/2315	0.3887	0.406736085686587	0	0	2.54710458081245	2.40714912102678	ITGAM
173	hydrogen peroxide CTD 00006118	1/2673	0.4367	0.454350948913569	0	0	2.16117764471058	1.79064507902731	ITGAM
174	atrazine CTD 00005450	1/2968	0.4741	0.490426746897166	0	0	1.91315582518818	1.42794297915997	MIS12
175	formaldehyde CTD 00006001	1/3192	0.5012	0.515527710317918	0	0	1.75545805912462	1.21255649745801	ITGAM
176	Tetradioxin CTD 00006848	1/3768	0.5662	0.579018169941636	0	0	1.43606760463676	0.816970640459268	MIS12
177	METHYL METHANESULFONATE CTD 00006307	1/3864	0.5763	0.586093089065428	0	0	1.39209595305894	0.767161479438839	ITGAM
178	acetaminophen CTD 00005295	1/4135	0.6041	0.610867789080445	0	0	1.27898726011934	0.644671006692784	SH3BP5
179	estradiol CTD 00005920	1/4336	0.6238	0.627253054170955	0	0	1.20422914263745	0.568367578548618	SH3BP5
180	benzo[a]pyrene CTD 00005488	1/4424	0.6322	0.63215275669341	0	0	1.17363780239656	0.538258710433895	PRRG1
