Tag	dynamicColors	mergedColors
NT5M	turquoise	brown
FAM168A	grey	grey
WBP1	yellow	yellow
USP24	blue	blue
ISL2	brown	brown
KAT5	grey	grey
AGPS	grey	grey
CYB5A	grey	grey
CTCF	magenta	green
PPM1D	grey	grey
VPS11	green	green
RNF170	grey	grey
CHST4	grey	grey
ULBP3	brown	brown
TAS2R8	grey	grey
WDR11	turquoise	brown
KRT80	grey	grey
ID4	grey	grey
KRTAP8-1	grey	grey
KIDINS220	blue	blue
FAM174A	grey	grey
HTR1A	turquoise	brown
MRGBP	grey	grey
PLAC1	grey	grey
RHPN2	grey	grey
ARHGAP4	turquoise	brown
UQCR10	yellow	yellow
EBAG9	greenyellow	pink
SSR3	tan	pink
BZW2	grey	grey
DYNLT3	grey	grey
ZNF587	grey	grey
FOXP1	grey	grey
AIDA	grey	grey
TNF	turquoise	brown
TPD52L3	grey	grey
ZNF347	blue	blue
MARVELD1	black	black
FOSL2	grey	grey
SLC25A20	grey	grey
RNASE6	grey	grey
POU5F1	grey	grey
TIMM17A	grey	grey
CCDC184	grey	grey
LY6G5C	turquoise	brown
TSC22D1	grey	grey
NXPH2	grey	grey
IDE	blue	blue
ZNF77	grey	grey
RBMXL3	grey	grey
LTBP4	turquoise	brown
PLSCR3	turquoise	brown
FLVCR2	green	green
PPP1R16B	brown	brown
LHX2	turquoise	brown
DNMT3A	grey	grey
FKRP	grey	grey
PKIA	grey	grey
KLF6	grey	grey
PCDHB7	grey	grey
IWS1	blue	blue
TNS4	magenta	green
TRMT10A	grey	grey
GDA	grey	grey
BTLA	grey	grey
NDUFA2	yellow	yellow
PRB1	turquoise	brown
WFDC9	grey	grey
SIGLEC12	blue	blue
POLD4	turquoise	brown
GAS6	grey	grey
HIPK1	blue	blue
GPR18	grey	grey
GUF1	blue	blue
KIFC1	grey	grey
LY6H	turquoise	brown
MCM2	grey	grey
PYY	turquoise	brown
BRI3BP	turquoise	brown
TRIT1	grey	grey
PLEKHB2	grey	grey
HKDC1	brown	brown
TOX2	turquoise	brown
ZKSCAN1	blue	blue
HIBADH	pink	pink
RBM12B	blue	blue
CACNA1A	turquoise	brown
UQCRQ	brown	brown
APOB	grey	grey
SRGAP2B	grey	grey
NLGN2	turquoise	brown
SOCS5	red	pink
COBLL1	red	pink
PLK1	grey	grey
SHISAL1	grey	grey
OR1E2	grey	grey
IFT46	grey	grey
CRYBB3	blue	blue
TLCD3B	grey	grey
HSD17B2	grey	grey
DNAJA2	pink	pink
DIPK1B	grey	grey
NDUFAF4	grey	grey
IGF2BP1	grey	grey
ASPM	blue	blue
ECEL1	turquoise	brown
ADAMTS2	turquoise	brown
RFPL4B	grey	grey
SRR	grey	grey
PLGRKT	grey	grey
SMIM34A	grey	grey
WDR41	grey	grey
VPS45	turquoise	brown
HLA-DOB	grey	grey
YIF1B	grey	grey
VNN2	grey	grey
MPZL1	black	black
RIPK1	grey	grey
RDH16	grey	grey
SRC	grey	grey
ZNF488	turquoise	brown
MADCAM1	turquoise	brown
PDE6G	turquoise	brown
DNM1L	blue	blue
NIF3L1	grey	grey
NOL7	tan	pink
FOXD4L1	grey	grey
SENP8	grey	grey
NECTIN3	blue	blue
C18orf54	blue	blue
CST11	grey	grey
ACOT13	grey	grey
C1QL3	grey	grey
LRRC30	grey	grey
MTF2	pink	pink
ACOXL	grey	grey
CSNK1D	grey	grey
GORAB	grey	grey
DCLK2	grey	grey
BORCS8-MEF2B	blue	blue
SMYD3	grey	grey
PPARA	grey	grey
ATP6AP1	grey	grey
DOT1L	grey	grey
CALHM5	grey	grey
FCRLA	grey	grey
MGAT1	grey	grey
ADAM22	grey	grey
GPSM3	brown	brown
PNPLA7	turquoise	brown
LTO1	grey	grey
ERICH2	grey	grey
CD63	yellow	yellow
USP43	grey	grey
LSR	grey	grey
SIGLEC6	grey	grey
LRRC18	brown	brown
IRF8	turquoise	brown
RNF165	turquoise	brown
SPANXN2	grey	grey
FOXD4L4	turquoise	brown
PYGB	grey	grey
MXRA7	black	black
CFAP99	turquoise	brown
TMEM33	blue	blue
SOX11	brown	brown
TGFA	turquoise	brown
DNAJB9	grey	grey
NOD2	turquoise	brown
LRSAM1	grey	grey
GLB1L	grey	grey
PANK2	blue	blue
DISP3	turquoise	brown
TFAP2A	magenta	green
ZNF865	grey	grey
FRMD6	pink	pink
ASAP3	black	black
ZNF548	grey	grey
TMEM132C	turquoise	brown
CTDSP2	magenta	green
AMIGO1	grey	grey
DOP1B	grey	grey
HCAR3	black	black
TCTN3	grey	grey
HHLA3	grey	grey
SUMO4	red	pink
PRUNE1	tan	pink
MSX1	brown	brown
MCHR1	grey	grey
FKBP8	grey	grey
NT5C3B	grey	grey
PRAMEF4	grey	grey
SMTNL2	turquoise	brown
PCDH8	grey	grey
HLA-C	grey	grey
PTGFRN	grey	grey
VPS52	green	green
PGRMC2	grey	grey
TAAR9	grey	grey
SMNDC1	tan	pink
POU5F2	grey	grey
MOSPD3	turquoise	brown
PRR23C	grey	grey
MASP1	pink	pink
G2E3	blue	blue
PSORS1C2	brown	brown
GPR135	grey	grey
ATP2B4	grey	grey
B3GAT1	turquoise	brown
EFCC1	turquoise	brown
KIF18B	turquoise	brown
C1S	grey	grey
FYTTD1	pink	pink
PPARG	grey	grey
EDN2	brown	brown
ADAM19	black	black
HOXC4	grey	grey
PTCD3	brown	brown
CFB	grey	grey
MOB2	grey	grey
ADGRF5	grey	grey
SMIM32	turquoise	brown
DCP1B	grey	grey
MORC2	grey	grey
ZNF527	grey	grey
MCOLN1	grey	grey
CCAR2	grey	grey
MTX2	pink	pink
SORBS2	grey	grey
CDYL	tan	pink
PARP8	blue	blue
KRT9	brown	brown
GUSB	grey	grey
LAMC2	grey	grey
OR12D2	grey	grey
C9orf64	grey	grey
CCDC68	grey	grey
RBM28	grey	grey
GALNT14	grey	grey
ZNF688	brown	brown
KIAA1755	brown	brown
ENAH	grey	grey
PRDM11	turquoise	brown
C1orf74	blue	blue
YIPF3	green	green
RBM39	blue	blue
TRIM39	grey	grey
TEAD1	black	black
ZNF630	grey	grey
PHETA1	brown	brown
DCAF4L2	grey	grey
TJP3	brown	brown
ROCK2	blue	blue
OR8D1	grey	grey
MAGEA10	grey	grey
BOD1L1	blue	blue
EDNRA	grey	grey
ZFP82	grey	grey
KRT76	grey	grey
SPRR2D	grey	grey
UIMC1	yellow	yellow
BUD13	grey	grey
PPM1J	brown	brown
PLXNC1	grey	grey
TMEM50A	yellow	yellow
PSG4	grey	grey
LIME1	turquoise	brown
SETD4	grey	grey
SLC16A8	turquoise	brown
ZFP1	grey	grey
TRIM15	brown	brown
MBOAT1	grey	grey
PID1	grey	grey
TPCN2	turquoise	brown
FXR1	blue	blue
KRTAP2-4	grey	grey
BRWD1	blue	blue
TECTA	grey	grey
COL26A1	brown	brown
TMEM250	turquoise	brown
DHRS13	blue	blue
CRABP1	blue	blue
HAS3	turquoise	brown
ERO1B	grey	grey
CCDC88A	blue	blue
GJB7	blue	blue
SLC35F3	grey	grey
ARL14EP	grey	grey
HLA-DQB1	grey	grey
MED12	magenta	green
SHANK1	turquoise	brown
LIMD1	grey	grey
AFF1	brown	brown
HLA-DQA2	grey	grey
SPP2	grey	grey
MYL5	turquoise	brown
N4BP2	blue	blue
FAM43A	green	green
KCNE2	grey	grey
ZNF395	grey	grey
KRTAP10-8	grey	grey
TCFL5	grey	grey
ST3GAL3	grey	grey
BFAR	green	green
NANOGNB	grey	grey
PHKG1	brown	brown
DHCR7	grey	grey
MUC5AC	turquoise	brown
NDC1	grey	grey
GPR45	grey	grey
INTS2	grey	grey
ZMYND8	grey	grey
GOLGA6L2	brown	brown
LMO2	grey	grey
RBPJ	blue	blue
AK2	purple	pink
MAP2K5	grey	grey
SUMO2	purple	pink
ITPRID2	blue	blue
RNF185	grey	grey
DEFB124	grey	grey
SLC39A10	blue	blue
CRABP2	grey	grey
MYO9B	grey	grey
LRRC14B	grey	grey
CAT	grey	grey
COL18A1	turquoise	brown
RCAN2	turquoise	brown
MTFR2	grey	grey
ZNF384	green	green
SMARCA1	blue	blue
ZNF331	grey	grey
GEMIN8	grey	grey
CACNG6	turquoise	brown
ERCC6L2	turquoise	brown
HDHD2	grey	grey
CLASRP	red	pink
ZNF705D	grey	grey
CD74	grey	grey
SLC17A8	grey	grey
CBLL1	greenyellow	pink
KBTBD4	grey	grey
CDKN2B	grey	grey
ASPN	grey	grey
SPRR2G	grey	grey
FLG2	grey	grey
XRN1	blue	blue
HELZ	blue	blue
FGF1	brown	brown
IDH2	grey	grey
TUBB1	red	pink
APOO	grey	grey
ZNF583	grey	grey
CAPN7	pink	pink
STS	purple	pink
GRIN3B	brown	brown
SARNP	yellow	yellow
YJU2	grey	grey
ELOVL7	grey	grey
RDH13	grey	grey
RHOBTB3	red	pink
KIAA1109	blue	blue
IFI27L2	grey	grey
P2RY14	grey	grey
DDX3X	grey	grey
PRKCSH	magenta	green
HDLBP	grey	grey
LRRN2	grey	grey
RASSF3	grey	grey
CAMLG	grey	grey
PABPN1	grey	grey
CCR10	grey	grey
COL19A1	brown	brown
AQP1	black	black
PCDHGB7	grey	grey
RANBP9	tan	pink
TCIM	grey	grey
NUP107	pink	pink
FCGR3B	grey	grey
SLC25A5	yellow	yellow
TMEM14A	grey	grey
MYL6	grey	grey
RAX	turquoise	brown
CLEC4M	grey	grey
NAIF1	grey	grey
CTSL	grey	grey
PRAMEF12	grey	grey
SLC2A6	turquoise	brown
POPDC3	grey	grey
CPLANE2	brown	brown
ZNF709	grey	grey
MTFMT	grey	grey
OR4E2	grey	grey
PKDREJ	grey	grey
MICA	grey	grey
SFMBT1	grey	grey
EFCAB2	grey	grey
MTFR1	grey	grey
TMEM50B	grey	grey
C17orf98	grey	grey
PPIE	grey	grey
OR1J4	grey	grey
DDR1	grey	grey
HPDL	grey	grey
PMPCA	grey	grey
SPRED1	grey	grey
TRAPPC2L	grey	grey
MTRNR2L5	grey	grey
GGT1	grey	grey
NEMF	blue	blue
KRTAP5-7	grey	grey
CRTAC1	brown	brown
TSC22D4	brown	brown
GPR153	turquoise	brown
KRTCAP3	turquoise	brown
TBK1	pink	pink
CGGBP1	red	pink
CD27	turquoise	brown
SPTY2D1OS	grey	grey
EGLN2	grey	grey
FUT10	grey	grey
MCM6	grey	grey
SH3BGRL	grey	grey
WDR88	grey	grey
SLPI	black	black
PLPP3	grey	grey
FAM184A	blue	blue
TIFA	grey	grey
PDCD1LG2	black	black
THBD	grey	grey
GMPR2	yellow	yellow
FBP1	turquoise	brown
MEDAG	brown	brown
AREL1	red	pink
ARHGAP32	brown	brown
ZNF256	grey	grey
ZNF609	grey	grey
KRTAP9-2	grey	grey
HMGCLL1	grey	grey
SCNM1	yellow	yellow
AJAP1	grey	grey
GML	greenyellow	pink
SLC12A2	grey	grey
PANX2	turquoise	brown
SCNN1D	turquoise	brown
C17orf50	turquoise	brown
BCL2L1	grey	grey
PPP1R3F	turquoise	brown
CNOT4	turquoise	brown
C11orf74	grey	grey
ZBP1	turquoise	brown
ZNF28	grey	grey
FH	grey	grey
XRCC4	grey	grey
PDE3A	grey	grey
TFEB	turquoise	brown
C16orf54	grey	grey
ACOX3	grey	grey
MPP7	blue	blue
PHIP	blue	blue
HIGD1B	grey	grey
SBK3	turquoise	brown
ADIPOQ	grey	grey
FABP12	grey	grey
ODAPH	grey	grey
CLMP	grey	grey
LRRC23	grey	grey
B3GNT7	turquoise	brown
ATG2B	blue	blue
FRMPD4	brown	brown
CATSPER1	turquoise	brown
KAZN	green	green
DOLK	yellow	yellow
H6PD	grey	grey
EFCAB13	grey	grey
POMC	turquoise	brown
COL6A2	brown	brown
DEFB110	grey	grey
OBSCN	brown	brown
ATOX1	grey	grey
TSC22D3	turquoise	brown
KANSL2	purple	pink
CAMK2N1	black	black
FOXH1	turquoise	brown
RAB11B	green	green
SCYL1	green	green
NAT8L	turquoise	brown
TRPV2	brown	brown
SLC30A2	grey	grey
DDX11	grey	grey
ENTPD7	grey	grey
RORA	blue	blue
SLC25A52	grey	grey
GRAP	turquoise	brown
NFE2L3	blue	blue
NDUFB11	yellow	yellow
SNAPC5	grey	grey
FOXJ1	turquoise	brown
WDR43	greenyellow	pink
NAPA	green	green
BSND	grey	grey
HTR3C	grey	grey
OR13F1	grey	grey
CETP	grey	grey
DHRS3	grey	grey
BAZ1B	blue	blue
TMED5	greenyellow	pink
MRPS23	grey	grey
PSMC1	purple	pink
TNRC6C	grey	grey
ZNF474	grey	grey
RNF166	turquoise	brown
MMP2	grey	grey
EHD3	grey	grey
OGG1	grey	grey
ORC4	grey	grey
DNASE1	grey	grey
EDF1	yellow	yellow
ADH5	grey	grey
ADAMTS19	grey	grey
SERPINF2	turquoise	brown
C1QB	grey	grey
NXT2	tan	pink
ACP7	turquoise	brown
VEGFA	turquoise	brown
HINT3	grey	grey
SPAG17	grey	grey
UPF3B	blue	blue
SOCS2	grey	grey
VSNL1	grey	grey
RAI2	red	pink
BUD23	grey	grey
CLDN9	blue	blue
MR1	grey	grey
SFTA3	grey	grey
SAAL1	grey	grey
WDR90	turquoise	brown
NT5C2	turquoise	brown
TMEM139	purple	pink
NCOA4	grey	grey
LY6G5B	grey	grey
RPS21	yellow	yellow
HOXA6	grey	grey
SLC44A5	grey	grey
ITM2A	grey	grey
PSMC4	yellow	yellow
ATP6V0A1	magenta	green
MIOS	blue	blue
GOLGA3	grey	grey
PRRC2A	magenta	green
CYP26C1	turquoise	brown
BCO1	brown	brown
IFI27	grey	grey
PRLR	greenyellow	pink
RNF168	grey	grey
ADH7	grey	grey
VSIG10L	turquoise	brown
HBEGF	grey	grey
SCN2B	grey	grey
ZNF510	grey	grey
DCLRE1B	grey	grey
UBA3	red	pink
FASLG	grey	grey
KCNK15	turquoise	brown
RPS18	yellow	yellow
SULT2A1	grey	grey
SLC6A1	turquoise	brown
MAPK4	grey	grey
BAZ2A	blue	blue
ZNF738	grey	grey
ZBTB12	turquoise	brown
CCDC87	grey	grey
MED24	magenta	green
TMTC3	pink	pink
LNX2	grey	grey
IL1F10	grey	grey
ZNF215	brown	brown
CEMIP2	blue	blue
ELK3	grey	grey
PCDH11X	grey	grey
GRAMD1A	grey	grey
PTGDS	grey	grey
MCTP2	blue	blue
MAEL	grey	grey
NAB2	grey	grey
LTA	grey	grey
DCP2	red	pink
BAG3	grey	grey
RNF208	grey	grey
IRAK3	grey	grey
OR8D4	grey	grey
INPPL1	grey	grey
NSUN2	grey	grey
TESMIN	turquoise	brown
MDM2	pink	pink
LGI2	grey	grey
CISH	green	green
KIR3DL3	turquoise	brown
MAP3K7	red	pink
GPRC5B	grey	grey
B3GALT6	grey	grey
PRAC2	grey	grey
TARDBP	blue	blue
PNPLA1	grey	grey
ULK2	grey	grey
CAV2	grey	grey
CELF4	turquoise	brown
LRRC38	grey	grey
LITAF	grey	grey
MCAT	grey	grey
ABHD18	grey	grey
CCDC122	grey	grey
HIVEP1	blue	blue
ZC3H12B	grey	grey
CPT1A	grey	grey
CASTOR2	grey	grey
RPS6KA5	pink	pink
ACHE	turquoise	brown
NR2E1	turquoise	brown
COL7A1	brown	brown
FOXD1	brown	brown
WDR97	turquoise	brown
NEU1	grey	grey
ABCA7	brown	brown
ELMO3	grey	grey
ZMYM2	blue	blue
VPS29	grey	grey
ATP6V0E2	grey	grey
SPATA2	grey	grey
C11orf96	brown	brown
MOXD1	grey	grey
COP1	pink	pink
CAMK2G	grey	grey
ZFAND5	grey	grey
POU6F1	grey	grey
CUL7	grey	grey
KRTAP19-6	grey	grey
KCTD18	grey	grey
XKRX	grey	grey
DNASE2	grey	grey
S100A3	grey	grey
MASP2	turquoise	brown
ARL5A	blue	blue
INMT	grey	grey
PXMP2	grey	grey
SEPTIN1	brown	brown
TOMM7	grey	grey
AMN1	grey	grey
NPHP3-ACAD11	brown	brown
NEK2	grey	grey
CNOT11	purple	pink
GSR	grey	grey
ACADVL	brown	brown
SYT13	turquoise	brown
APOL1	grey	grey
PHYH	grey	grey
KDSR	turquoise	brown
PAPOLA	red	pink
HSPA1A	grey	grey
GLCCI1	grey	grey
RNF11	pink	pink
VAMP8	yellow	yellow
ZNF773	grey	grey
PRRT1	turquoise	brown
KLF8	blue	blue
TSKS	grey	grey
PSG1	grey	grey
SERPINH1	blue	blue
CXCL14	grey	grey
FAM107B	grey	grey
NCKAP5	grey	grey
OSTF1	purple	pink
TTR	black	black
PCDH1	magenta	green
CASR	brown	brown
ZNF432	grey	grey
B4GALNT1	brown	brown
UBE2B	grey	grey
VPS33A	grey	grey
CCDC97	grey	grey
VWC2	brown	brown
MEAK7	grey	grey
SPTLC1	pink	pink
PHF1	grey	grey
CACNA1I	turquoise	brown
TATDN2	grey	grey
RAB7A	green	green
BEX1	grey	grey
TOMM40	green	green
KRTAP2-1	grey	grey
PSMD14	grey	grey
FBXO33	grey	grey
PTER	grey	grey
NRF1	grey	grey
ENTHD1	grey	grey
CALHM2	green	green
SWT1	red	pink
BDNF	brown	brown
SHMT1	grey	grey
NPC1	grey	grey
HHIPL1	brown	brown
HNRNPU	blue	blue
TAP2	black	black
ZYG11B	pink	pink
PPIB	yellow	yellow
PLXNA2	grey	grey
GMNC	grey	grey
SLC49A3	turquoise	brown
CNOT6L	pink	pink
MYD88	green	green
LTB	brown	brown
TCN2	turquoise	brown
TMEM161B	blue	blue
ABCC2	grey	grey
MFSD11	grey	grey
ADGRL1	turquoise	brown
TSPAN31	yellow	yellow
SAMD5	grey	grey
TMEM125	turquoise	brown
HLA-DQA1	grey	grey
TRIM33	blue	blue
FUT4	brown	brown
ACTL10	grey	grey
HSPB1	green	green
CHD2	blue	blue
BTNL2	brown	brown
C9orf116	brown	brown
PLK2	black	black
TYW1	turquoise	brown
RPS7	yellow	yellow
KRTAP3-1	grey	grey
FGF18	grey	grey
GAS2L2	brown	brown
ZNF830	grey	grey
SLN	grey	grey
CHRM3	grey	grey
SSB	red	pink
PRMT7	grey	grey
TAF13	grey	grey
PROCA1	turquoise	brown
FNTA	purple	pink
NAA16	grey	grey
HTRA1	grey	grey
NOP56	grey	grey
TSPAN32	brown	brown
IL3RA	grey	grey
FABP1	brown	brown
TSPAN10	grey	grey
DMRT3	greenyellow	pink
IGF1R	grey	grey
SNRPB2	yellow	yellow
KRT5	grey	grey
FRY	grey	grey
SLC34A2	grey	grey
TBC1D4	grey	grey
EXOSC7	grey	grey
CXorf38	grey	grey
RNF225	turquoise	brown
CRYBB2	grey	grey
NTN5	turquoise	brown
EMC6	yellow	yellow
GAR1	grey	grey
TUT4	blue	blue
NAALADL1	brown	brown
TBX10	grey	grey
DACH1	grey	grey
ELF3	grey	grey
SIM1	turquoise	brown
LOXHD1	brown	brown
FADS6	brown	brown
PENK	grey	grey
ARL4A	grey	grey
ELFN1	turquoise	brown
ANKDD1A	grey	grey
KLHL36	grey	grey
CHST6	turquoise	brown
DIRC1	grey	grey
APPL2	grey	grey
INSC	grey	grey
NOTUM	black	black
ARID5A	turquoise	brown
GON7	turquoise	brown
GYG2	turquoise	brown
AZU1	turquoise	brown
KLRF2	grey	grey
CDS1	pink	pink
GOLT1A	turquoise	brown
TNN	brown	brown
RND2	brown	brown
CCDC153	brown	brown
MFF	grey	grey
ADARB1	grey	grey
RDM1	grey	grey
REM2	red	pink
FBXL22	turquoise	brown
CALML6	brown	brown
KLHL9	red	pink
ENTPD5	grey	grey
LLCFC1	brown	brown
STARD5	grey	grey
UBE2C	turquoise	brown
ZNF638	blue	blue
KIF11	turquoise	brown
TEX13A	grey	grey
AKAP8L	grey	grey
CRX	grey	grey
D2HGDH	turquoise	brown
DHX32	pink	pink
KCNC3	turquoise	brown
APOLD1	grey	grey
NR2C2	blue	blue
TAF11	grey	grey
HOMEZ	grey	grey
GZMH	grey	grey
SPAG11B	turquoise	brown
ZBTB17	grey	grey
MID2	grey	grey
SPRED3	turquoise	brown
GPRC5C	turquoise	brown
TREM2	brown	brown
C6orf15	grey	grey
CFL2	grey	grey
LHFPL4	turquoise	brown
SYCE1L	turquoise	brown
ZXDC	grey	grey
AHSA1	grey	grey
SCAMP5	blue	blue
NT5C3A	grey	grey
WBP2	green	green
EPOR	turquoise	brown
ALG11	grey	grey
IFITM2	grey	grey
CYP26B1	turquoise	brown
RAB10	grey	grey
GP1BA	turquoise	brown
ODF3L2	turquoise	brown
OR5K2	grey	grey
ELF4	green	green
ZNF208	grey	grey
FAM71C	grey	grey
XRCC6	grey	grey
KIF21A	grey	grey
ABCF1	magenta	green
NEDD9	grey	grey
FBXO32	grey	grey
E4F1	turquoise	brown
PRDM13	blue	blue
RAD54L2	grey	grey
KCNB2	grey	grey
CCDC93	grey	grey
KIAA0319	grey	grey
DNAH17	turquoise	brown
PGK1	grey	grey
ZNF507	blue	blue
AHDC1	turquoise	brown
GPR65	blue	blue
TMEM245	grey	grey
ATRNL1	grey	grey
ZNF415	grey	grey
OR2B3	grey	grey
RAB31	grey	grey
FBXL6	turquoise	brown
SRSF10	pink	pink
TGIF2	turquoise	brown
ANKMY2	grey	grey
BABAM1	yellow	yellow
SSTR4	turquoise	brown
TBC1D14	grey	grey
CTTN	grey	grey
IGFL4	grey	grey
SLC25A4	grey	grey
GPN1	grey	grey
AMPD3	grey	grey
CEP97	blue	blue
PLAC8	black	black
MAML2	grey	grey
SMARCC2	grey	grey
KLF13	grey	grey
CAPN15	brown	brown
OR51I2	grey	grey
KRT33A	grey	grey
ARHGAP44	grey	grey
GAP43	grey	grey
APBA1	grey	grey
ZBTB18	grey	grey
SBNO1	blue	blue
SETD6	turquoise	brown
GP5	red	pink
GATA4	turquoise	brown
DESI1	yellow	yellow
IGFBP7	grey	grey
NPSR1	grey	grey
HES2	grey	grey
TUBA8	blue	blue
DCTN1	magenta	green
DYDC2	grey	grey
NBL1	turquoise	brown
ZFPM1	turquoise	brown
GJC3	grey	grey
NXPE4	grey	grey
TCTE1	turquoise	brown
TTN	blue	blue
LHX1	brown	brown
GOLPH3	yellow	yellow
PLA2G2E	grey	grey
MAU2	grey	grey
HACD1	grey	grey
LGALS12	turquoise	brown
FAM172A	grey	grey
KLHL7	grey	grey
SGCD	grey	grey
CDKL5	grey	grey
TCHH	grey	grey
GGA2	grey	grey
MGST1	grey	grey
TAP1	black	black
INO80C	grey	grey
TMEM109	green	green
ACBD5	red	pink
XAF1	grey	grey
XCL2	grey	grey
OR6B1	grey	grey
DCTN3	yellow	yellow
SECISBP2	turquoise	brown
LIMD2	turquoise	brown
DAD1	yellow	yellow
CCDC69	grey	grey
USP48	blue	blue
PI4K2A	grey	grey
PITX3	turquoise	brown
CDC25A	brown	brown
TET3	turquoise	brown
TCTEX1D2	grey	grey
SPATA2L	greenyellow	pink
MRPS36	grey	grey
DYNC1LI1	tan	pink
TMEM150B	turquoise	brown
CEACAM1	grey	grey
DHPS	yellow	yellow
ZNF562	grey	grey
BMP15	grey	grey
MFSD13A	grey	grey
TMEM252	grey	grey
PTHLH	grey	grey
SLC5A12	grey	grey
GPC3	purple	pink
ZNF805	turquoise	brown
TAS2R3	grey	grey
ADA	turquoise	brown
FAM162B	grey	grey
PEX1	blue	blue
NMS	brown	brown
PTK6	turquoise	brown
HOXD13	grey	grey
SAR1B	grey	grey
TMCC1	grey	grey
VPS39	brown	brown
MT1F	grey	grey
KIF23	grey	grey
OR10R2	grey	grey
SMIM13	grey	grey
NOS2	blue	blue
PCMTD1	blue	blue
NFASC	grey	grey
ALG6	pink	pink
FKBP5	grey	grey
ADAM20	blue	blue
SLC6A19	grey	grey
AAAS	green	green
HHLA2	grey	grey
CES4A	grey	grey
RTCA	red	pink
HTR2B	grey	grey
SIPA1L1	red	pink
C20orf203	grey	grey
USP17L2	grey	grey
EXO5	grey	grey
SFTA2	grey	grey
ATRAID	yellow	yellow
CISD3	turquoise	brown
VAT1L	grey	grey
ZCCHC7	grey	grey
EIF4G1	magenta	green
MS4A4E	grey	grey
NUP205	turquoise	brown
HNRNPA2B1	blue	blue
SOHLH1	turquoise	brown
CCDC70	grey	grey
KRTAP13-2	grey	grey
PDPR	grey	grey
SFT2D2	grey	grey
ARHGAP26	blue	blue
HLA-A	grey	grey
CLRN2	grey	grey
PI15	grey	grey
PRSS21	turquoise	brown
ECI2	grey	grey
RERE	grey	grey
FMNL2	grey	grey
GLS	grey	grey
NHSL2	grey	grey
ZNF429	blue	blue
SYNE3	grey	grey
CEACAM18	grey	grey
GNL3L	grey	grey
C19orf44	brown	brown
RHCE	grey	grey
OXSM	yellow	yellow
GATC	grey	grey
LAMA5	grey	grey
ZNF460	blue	blue
DEXI	blue	blue
CHCHD3	purple	pink
DCTN5	greenyellow	pink
SMIM1	turquoise	brown
ALKBH6	brown	brown
EDA2R	grey	grey
CD70	blue	blue
COL1A2	grey	grey
XIRP1	turquoise	brown
CPN1	brown	brown
IL10RA	grey	grey
HLA-DQB2	red	pink
SLU7	red	pink
IL23A	grey	grey
ARCN1	magenta	green
DLL3	turquoise	brown
FZD3	grey	grey
ATP6V1C2	grey	grey
RNASE7	grey	grey
MED1	greenyellow	pink
CAPNS1	grey	grey
DPF2	green	green
SPCS3	tan	pink
EEF1G	yellow	yellow
NXPH4	blue	blue
TRIM43	grey	grey
ADGRG3	turquoise	brown
MFN1	grey	grey
FCF1	grey	grey
CPLX2	brown	brown
ALX4	turquoise	brown
LRRC43	turquoise	brown
TRAPPC10	brown	brown
TCIRG1	grey	grey
BST2	black	black
B3GNT3	grey	grey
NR0B2	grey	grey
PLCXD3	grey	grey
KLF7	grey	grey
SERPINA5	turquoise	brown
PHC3	blue	blue
KSR1	grey	grey
MTR	blue	blue
KAT6A	blue	blue
NLRX1	turquoise	brown
STK3	tan	pink
TOR1A	purple	pink
HSF5	grey	grey
NSMCE2	blue	blue
ABCB1	grey	grey
CTSW	grey	grey
OR6C65	grey	grey
AMZ2	grey	grey
MFAP4	grey	grey
TRAPPC11	pink	pink
OR2J2	grey	grey
FKBP10	black	black
DNASE1L3	black	black
ISG15	grey	grey
GBGT1	grey	grey
ARMCX6	grey	grey
ATXN1L	grey	grey
MBD6	grey	grey
SLC17A7	turquoise	brown
SMIM21	grey	grey
NUDT15	grey	grey
SLC38A8	grey	grey
TNKS2	red	pink
MAFA	grey	grey
TCEANC	blue	blue
ZNF555	grey	grey
CLOCK	blue	blue
DSN1	grey	grey
CEPT1	grey	grey
PXMP4	grey	grey
MRPL30	grey	grey
FADS2	black	black
CEP170	grey	grey
MRPL1	grey	grey
OSBPL5	turquoise	brown
DDX58	grey	grey
IER5	grey	grey
C19orf53	yellow	yellow
FHL1	grey	grey
WAPL	red	pink
BCL11B	brown	brown
BRMS1	blue	blue
ADM5	grey	grey
RALA	grey	grey
TOM1	green	green
BPIFA2	brown	brown
POFUT2	red	pink
TRIL	grey	grey
PSMD3	green	green
AP1G1	magenta	green
HES5	turquoise	brown
ASTE1	grey	grey
FLOT1	yellow	yellow
ZNF853	turquoise	brown
ATP6V1G3	grey	grey
RANBP6	blue	blue
ARID4A	blue	blue
ZNF296	turquoise	brown
HNRNPH1	blue	blue
KCNJ13	grey	grey
TNNC2	turquoise	brown
GPR37	grey	grey
HAS1	turquoise	brown
KLHL4	grey	grey
NCOA6	blue	blue
SMDT1	yellow	yellow
AP1G2	grey	grey
ABHD10	grey	grey
ZC2HC1B	grey	grey
CHORDC1	blue	blue
CST3	grey	grey
CSTL1	grey	grey
TUB	brown	brown
INPP5K	grey	grey
UTP6	black	black
MRGPRX1	grey	grey
PBX2	magenta	green
DNAJC14	magenta	green
FLACC1	grey	grey
SPINK9	yellow	yellow
CEBPB	grey	grey
CD36	grey	grey
DDN	brown	brown
TRIM23	blue	blue
ADAM30	grey	grey
CT47B1	grey	grey
DPP7	blue	blue
FAM169B	grey	grey
POLR2A	grey	grey
